Company,Description,Job,Location,Salary,Company Categories,Job Type,Job Title
Cornwaliis Elt,A working knowledge of data modelling methods and experience in designing data models.Knowledge of the development of Canonical data models.,"Data Analyst Designer: Data Modeller, Data Engineer, Investm...",London,80000,recruiter,nan,data analyst
Inspiring Interns,"At least one year of professional experience in data.With offices in Edinburgh, Manchester and London they provide their clients across a range of sectors with…",Data Consultant,London,25000,recruiter,nan,consultant
IQ Talent Solutions,"Passionate about business intelligence, data integration, data modeling, data manipulation and data management.Information on all Annuity & Service activities.",Senior Data Analyst,London,44000,recruiter,upper,data analyst
Huntress,Ensure correct data points are being tracked and validating data.Using SQL to retrieve data.Translating data into comprehensible visualisations.,Commercial Data Analyst - Digital Gaming,London,41000,recruiter,nan,data analyst
Harnham,"£40,000 - £75,000 (dependent on level).Apply Machine Learning techniques to big datasets to build commercial insights.Strong programming skills in Python.",Data Scientist/ Senior Data Scientist,London,57500,recruiter,upper,data scientist
Aspire,"Strong commercial background in manipulating large data sets and interpreting data, ability to leverage quantitative data to create actionable insights, data…",Senior Data Analyst,London,50000,recruiter,upper,data analyst
GCS Recruitment Specialists Ltd,"Experience with working on large data sets and data preprocessing/wrangling.Strong organisational and self-starting skills, happy to work in a team and…",Data Scientist,London,80000,recruiter,nan,data scientist
Harrison Holgate,Use data mining techniques to clean claims data and messages and extract key info that both actuarial and claims would find useful.,Data Scientist,London,50000,recruiter,nan,data scientist
Morgan McKinley,"Work with team, including data engineers to create and productionise NLP models.You will be joining at an exciting time as the company expands it's data…",NLP Senior Data Scientist,London,90000,recruiter,upper,data scientist
Metrica Recruitment,"As a data scientist, you will be responsible for utilising the most cutting edge data techniques to deliver bespoke solutions to both internal stakeholders and…",Data Scientist - R& Python,London,37500,recruiter,nan,data scientist
Langley James IT Recruitment,Make sure data sources are quality checked.Understand the current data models of the business.Data Analyst experienced in SQL and Power BI is required by an…,"Data Analyst, Hersham, SQL, Power BI",London,25000,recruiter,nan,business analyst
Datatech Analytics,Able to explain complex pricing and data science theories to non-technical colleagues.Insurance Data Scientist– Negotiable Salary – Plus Benefits – London –…,Insurance Data Scientist,London,30000,tech,nan,data scientist
Aspire Data Recruitment,"London (European travel and flexible working options).C£60,000 + bonus & benefits.As a Data Scientist you’ll be responsible for communicating to clients on…",Data Scientist - Consultancy,London,55000,recruiter,nan,data scientist
Skypath,Reviewing data and ensuring it remains appropriate through regular data cleansing.Regular processing of data handoffs and answering any associated queries.,Data Analyst,London,21500,recruiter,nan,data analyst
kdr Recruitment,"Lead Data Scientist | London | £65,000 – £110,000 per year.You’ll be part of a Data Science practice of 30 + people who spend 3 days per week on-site with any…",Lead Data Scientist – London,London,87500,recruiter,upper,data scientist
Cornwaliis Elt,"Use of data extraction, data manipulation and data import tools to achieve required goals.Reconciliations and verification of data to ensure data and system…",Systems Data Analyst - Application Support,London,45000,recruiter,nan,data analyst
Harnham,You can expect to be engaging with a range of technologies and vast data sets to productionise and maintain a variety of machine learning models.,Lead Data Scientist,London,80000,recruiter,upper,data scientist
Deerfoot,Business Analyst c.£50k – £75k + bonus + good bens.The role will require effective consulting skills on end to end transformation projects and with the support…,Business Analyst,London,62500,recruiter,nan,business analyst
Harnham,"Proven commercial experience in a data science position, deploying deep learning algorithms into production.UP TO £90,000 + BENEFITS.",Senior Data Scientist/ Natural Language Processing (NLP),London,80000,recruiter,upper,data scientist
Logikk,To be a Senior Data Scientist you will utilise your expertise within AI & Deep Learning in order to deliver exceptional value to the new product and services…,Senior Data Scientist - NLP/Research,London,70000,recruiter,upper,data scientist
MBN Solutions,"Coursera or equivalent course in machine learning/data science.Gravitas, good personality, experience selling data solutions to none technical stakeholders.",Strategy Impact Manager,London,75000,recruiter,upper,strategy
Blue Legal,Proven experience as a data scientist.Familiarity with cloud-based data science and machine learning services and APIs (e.g. Microsoft Azure).,Data Scientist,London,47500,law,nan,data scientist
Harnham,Experience of working with large volumes of data.This role will make use of advanced computer vision and deep learning models!,Data Scientist - Travel,London,72500,recruiter,nan,data scientist
Harnham US,"Strong commercial experience using SQL and a data visualisation tool.As a Data Analyst, you will have the opportunity to work alongside highly skilled analysts…",Customer Analyst,London,37500,recruiter,nan,analyst (other)
Ashdown Group,"Connecting to data sources, importing data and transforming data for Business Intelligence.To be considered for this position you will have an impressive…",Power BI Data Analyst,London,45000,recruiter,nan,business analyst
Wade Macdonald,Strong experience visualising data and insights.A unique and challenging position has opened up for an experienced decision / data scientist to join a market…,Data Scientist,London,42500,recruiter,nan,data scientist
Harnham,Confident user of any data visualisation tool.Using SQL extract customer data to understand key insights and trends to help influence business decisions.,Data Insight Consultant,London,45000,recruiter,nan,data analyst
Bank of England,"As a senior data scientist, the remit of the role will allow you to focus on the impact and value of data across the PRA.",Principal Data Scientist – PRA Data Innovation,London,66600,finance,nan,data scientist
Datatech Analytics,Helping to develop data models for campaigns and future CRM development.Evidence of being able to turn insights and analyst reports into actionable…,Senior Data Analyst,London,65000,tech,upper,data analyst
Aspire,Strong data analyst background (ideally from a media background).Monitor and analyse data on the performance of different partners within the programmatic ad…,Programmatic Analyst,London,40000,recruiter,nan,analyst (other)
Harnham,"A passion for data, and using data to uncover insights and solve challenging business problems.A leading retail bank is looking for a Senior Data Scientist to…",Data Scientist - Machine Learning,London,87500,recruiter,nan,data scientist
Harnham,One of the fastest growing tech firms is looking to bring on board a successful Data Analyst with an interest in applying machine learning techniques to…,Payments Fraud Data Scientist,London,60000,recruiter,nan,data scientist
Streetbees,"Being part of a greenfield project, designing a new data science library and tool stack from scratch.Developing and testing machine learning models using the…",Data Scientist,London,60000,tech,nan,data scientist
Harnham,Familiarity with big data frameworks.Support the fraud team with data-driven research on key initiatives and challenges.,Lead Payments Fraud Data Scientist,London,75000,recruiter,upper,data scientist
Grey Matter Recruitment,"A proven data scientist, you person will be able to deliver projects to the highest standard whilst having the ability to work effectively and efficiently…",Data Scientist at AI Machine-Learning Technology Platform,London,90000,recruiter,nan,data scientist
Skillsearch Limited,Experience with data mining techniques.Build a robust data culture across the studio.Strong understanding of data modelling and design principles.,Senior Data Scientist - (ARLH-834721),London,70000,recruiter,upper,data scientist
kdr Recruitment,"Experience with data visualisation tools; Looker/Power BI/Tableau.Expertise in using modern data tools (i.e. SQL, Python, R).",Lead Data Consultant – London,London,80000,recruiter,upper,consultant
Morgan McKinley,Delivering data analysis within Technology & Operations.Working with stakeholders and non-technical colleagues to explain and deliver data science solutions.,Lead Data Scientist - Financial Services - London,London,90000,recruiter,upper,data scientist
FACEIT,An interest in data engineering and in working with unstructured data;Work closely with various technical and non-technical business areas and make sure that…,Data Scientist,London,47500,tech,nan,data scientist
Harnham,As the majority of the clients are London based you get to do the consulting role without the travel time.Use Data & Analytics to provide advanced analytics…,Data Science Consultant,London,70000,recruiter,nan,data scientist
Nicholson Glover Consulting,"Provide regular maintenance and support of forecasting models, as well as platforms and data.You will be responsible for implementing the modelling strategy…",Data Scientist,London,100000,consult,nan,data scientist
Consortia,"Attracting and recruiting very capable data scientists and data engineers, and line management and capability development of the team, including twice-yearly…",Data Science & Engineering Manager,London,110000,recruiter,upper,data scientist
Harnham,Wrangling data using the company's bespoke ETL tool and SQL to build stable data sets.They are offering fantastic opportunities to use the latest data…,Business Intelligence Analyst,London,37500,recruiter,nan,analyst (other)
Metrica Recruitment,"You will be involved in the data-mining, machine learning and graph analysis techniques for a variety of modelling problems involving customers, their…",Research Data Scientist,London,55000,recruiter,nan,data scientist
NP Group,"Developed scalable Machine Learning models.Familiar with Statistical and Reinforcement Learning.Deep Learning (Tensorflow, Keras, Torch etc).",Senior Data Scientist,London,85000,recruiter,upper,data scientist
Harrington Starr,"Working cross-functionally, the candidate will be able to work closely with both performance and data management teams.Working on B-ONE FactSet migration.",Performance / Data Analyst – FactSet Migration/ 6 - month FT...,London,77500,recruiter,nan,data analyst
Hydrogen Group,"Delivering data migration, data warehousing and data integration projects.2+ years experience within a similar data analyst or development role.",Data Analyst/Developer,London,50000,recruiter,nan,data analyst
Sentinel,"Data Scientist will use a variety of data mining / data analysis methods as wells as data and statistical tools.Coding knowledge in C, C++ or Java.",Senior Data Scientist,London,75000,recruiter,upper,data scientist
DMW Group,"Typically, our data projects tend to be at enterprise level and range from setting out data strategies & roadmaps, defining and designing data architecture,…","Data Consultant / Data Architect, Managing Consultant, Londo...",London,92500,recruiter,upper,consultant
Harnham,Work on a range of Machine Learning projects.Build and deploy Machine Learning models to solve commercial challenges.,Data Scientist (Mid - Lead level),London,82500,recruiter,upper,data scientist
Grey Matter Recruitment,Develop automated client reporting and AI building capabilities.Working closely with a team of Data Scientists and Customer Success Managers.,Data Consultant at AI-Powered Marketing Analytics SaaS Leade...,London,48000,recruiter,upper,consultant
Lloyds Banking Group,"Experience in using AWS, Google and Azure data science suites, data technologies.A passion for data, and using data to uncover insights and solve challenging…",Data Science & Analytics Practice Lead - Schroders Personal...,London,81112,finance,upper,data scientist
Metrica Recruitment,Highly advantageous to have used Python or R as well as cloud computing platforms and big data tools.Over 18 months years of experience in operational research…,Data Scientist - Consultancy,London,45000,recruiter,nan,data scientist
Metrica Recruitment,An experienced data scientist with the ability to interpret large data sets to generate actionable insight.Your work will range from optimising the warehouse…,Data Scientist - Machine Learning,London,52500,recruiter,nan,data scientist
Datatech Analytics,Build sales attribution models lining online and offline data.Help develop targeted data models for campaigns and future eCRM development.,Senior Data Scientist,London,65000,tech,upper,data scientist
Taylor James Resourcing,Quarterly operational data update with commentarie.Provide support to deal officers on data management related issue.Prepare half yearly Deal Expenses report.,Investment Analyst (VBA / SQL),London,47500,recruiter,nan,analyst (other)
Harnham,Experience of working with large volumes of data.Researching and exploring data sets to find hidden patters and trends.,Data Scientist - Machine Learning Lab,London,72500,recruiter,nan,data scientist
IPS Group,"Ownership of management information for the MGA incorporating internal and external data.Recommend acquisition of third-party data as appropriate, whilst…",Data Scientist – Insurance,London,67500,recruiter,nan,data scientist
Barlow Search, Analyse large data set to generate valuable insights. Advise on data collection for machine learning models deployment. Ability to travel internationally.,Lead Data Scientist,London,125000,recruiter,upper,data scientist
GCS Recruitment Specialists Ltd,Looking for an Experienced Business analyst with exposure to Operational Risk.5 plus years experience as a Business Analyst.,Business Analyst - Operational Risk,London,85000,recruiter,nan,business analyst
Mana Search,"Essentially, my client want someone with great experience with python (or Scala), machine learning, big data & data mining.Data Science: 5 years (Preferred).",Senior Data Scientist Manager,London,97000,recruiter,upper,data scientist
Harnham,"As an insight analyst, you will work for a leading media company that use technology and data and analytics to develop a deeper understanding of their customer…",Insight Analyst,London,40000,recruiter,nan,data analyst
Harnham,"Expert in data manipulation, SQL data bases.Use a variety of data sets to test hypothesis.Developing machine learning and AI models.Up to a 10% bonus.",Data Science,London,70000,recruiter,nan,data scientist
Harnham,Collaborate with a wider team of data scientists and engineers.Have experience in data engineering best-practice and principles.,Data Scientist - Clean Energy,London,70000,recruiter,nan,data scientist
Match Digital,"Experience in solution design, architecting and outlining data analytics pipelines and flows.Advanced Mathematics skills including experience with Bayesian…",Senior Data Scientist,London,80000,tech,upper,data scientist
Harnham,"Analyse all the data for the company (including shipping data, oil data, weather data etc).This is fantastic opportunity for an experienced Data Scientist who…",Quantitative Strategist - Data Science,London,122500,recruiter,nan,data scientist
Source,"Data Studio + other data visualisation tools along with experience of pulling data from various sources, not just from Google.",Senior Social Strategist,London,45000,recruiter,upper,strategy
Harnham,Provide business insights into the data to drive influence and decision making across the business.A global technology company are looking for an experienced…,Lead Fraud Data Scientist,London,72500,recruiter,upper,data scientist
Venturi,Create technical data specification for DW team to be able to integrate the data into our data warehouse.Consult with data architect/stakeholders/governance…,Data Integration Analyst,London,50000,recruiter,nan,analyst (other)
Lawrence Harvey,Loading data into and out of Salesforce both for initial migrations and ongoing scheduled data integrations.Experience of large data volumes.,Salesforce Data Consultant,London,60000,law,nan,consultant
Pearson Carter,One of Pearson Carters established End User Clients are currently looking for a Data Analyst to become a permanent member of there Watford based team.,"MD 365 CRM Data Analyst & IT Support, Hertfordshire, £35,000",London,35000,recruiter,nan,data analyst
Harnham,"Collate, manipulate and analyse data using SQL and SAS to provide commercial insights.Within the collections manage end-to-end strategic initiatives.",Collections Strategy Analyst-,London,46000,recruiter,nan,analyst (other)
Metrica Recruitment,"Proven data science experience attained either in-house or consulting.Completely sector agnostic, this team aims to solve complex business problems using…",Lead Data Scientist,London,80000,recruiter,upper,data scientist
Taylor James Resourcing,"This includes but is not limited to data exploration, data cleaning, data analysis, application maintenance and result presentation.",Data Scientist (Investment Background),London,72500,recruiter,nan,data scientist
3Search,"Build & maintain reports, models and data visualisations that provide insight into customers experiences.If you are a data-driven Product Analyst who can help…",PRODUCT ANALYST,London,45000,recruiter,nan,analyst (other)
Consortia,Data relevancy and accuracy validation.Design and development of ML algorithms.Helping to design the analytics solution architecture.,Lead Data Scientist,London,75000,recruiter,upper,data scientist
Educated Appointments,"This will be through classroom, online training sessions and coaching in the work place to our data analyst apprentices across England.",Data Analyst/ Software Developer Trainer,London,35000,recruiter,nan,data analyst
Harnham,"You will be a proficient user of the Google Analytics suite and have a passion for reporting across a range of data sets, including digital sales, trading &…",Digital Analyst,London,42500,recruiter,nan,analyst (other)
Metrica Recruitment,With a huge emphasis on analytics they have created a data environment that is primed for a talented data scientist to make a genuine impact.,Senior Data Scientist,London,75000,recruiter,upper,data scientist
Metrica Recruitment,"Expert knowledge of data science methodology; unsupervised and supervised machine learning, NLP.Your role will bridge the gap between advanced data science…",Data Science Consultant - R& Python,London,52500,recruiter,nan,data scientist
Morgan McKinley,Create advanced data science applications to be productionised and used throughout the business.Lead Data Scientist - Financial Services - London.,Lead Data Scientist,London,70000,recruiter,upper,data scientist
Michael Page UK,"As a Data Analyst you will work across Reporting & Data Analysis, Data Quality and Data Management to assure that the business is better enabled by the data it…",BI Analyst,London,26000,recruiter,nan,business analyst
Executive Recruitment Services,"Maintain products, test and maintain data sets.Ensure that data feeds and systems are working as expected.Research skills and the ability to manipulate large…",Data Analyst,London,55000,recruiter,nan,data analyst
Harnham,"Proven commercial experience in a leadership position in data.You will be designing the best data strategy for the business.£120,000 - £140,000 + equity.",Director of Data,London,130000,recruiter,nan,data (other)
Harnham US,"Experience with big data solutions e.g. Spark, Hadoop.Use advanced analytics to grow and drive actionable customer insights, using R and Python.",Lead Data Scientist,London,82500,recruiter,upper,data scientist
Harnham,Excellent data manipulation and analytical skills.Support various stakeholder in interpreting data and analysing results.Work on A/B testing of the website.,Marketing Analyst,London,35000,recruiter,nan,analyst (other)
Harnham,"You will contribute to the wider data science vision and product road map.Looking for an NLP specialist, who is keen to work on some of the most cutting edge…",NLP Senior Data Scientist,London,87500,recruiter,upper,data scientist
Page Personnel - UK,Analysing financial input and output.Profit & loss and cashflow analysis.Implementing and monitoring internal audit procedures.,Finance Data Analyst,London,28500,recruiter,nan,data analyst
Pearson Carter,"They are on the lookout for a Data Analyst to permanently support the company with IT, including the data function.Job Types: Full-time, Permanent.",Microsoft Dynamics 365 IT Support & Data Analyst | End User...,London,35000,recruiter,nan,data analyst
Newtons Recruitment,"Seeking experienced Data / Business Analytics specialists with experience and a passion for coaching, training & development.Proficient in Python, R and SQL.",Data Analyst Lecturer,London,55000,recruiter,nan,data analyst
Futureheads Recruitment,"Proven experience as a data analyst.They are committed to continuing their expansion their focus on data, both internally and across their product line, and…",Head of Data Engineering,London,72500,recruiter,upper,engineer
Harnham,"Operating across numerous industries and working with cutting-edge technology, you will benefit massively from approved-vendor training courses, to make you an…",Senior Data Consultant,London,100000,recruiter,upper,consultant
Harrington Starr,"These include access to current systems and extracting and also consuming data sets provided.Collecting necessary operational data for improving stability,…",Analytics & Reporting Analyst,London,65000,recruiter,nan,analyst (other)
Deerfoot,"Deep understanding of data manipulation/wrangling techniques.Python, R or Spark to extract insights from data.",Artificial Intelligence Engineer / Data Scientist,London,80000,recruiter,nan,data scientist
Taylor James Resourcing,"This includes but is not limited to data exploration, data cleaning, data analysis, application maintenance and result presentation.",Data Scientist,London,72500,recruiter,nan,data scientist
Venturi,"You will be applying NLP and other machine learning techniques to large amounts of data and performing analysis.Generous holidays, plus your birthday.",ML Engineer / Data Scientist,London,60000,recruiter,nan,data scientist
Linux Recruit,"You will be involved in the full lifetime of their data products responsible for analysis of data to inform strategic business decisions, designing and building…",Data Scientist - Machine Learning (Python/SQL),London,85000,recruiter,nan,data scientist
Additional Resources,"You will be a data engineer working closely with their data scientist, a larger team of web developers and the Head of Product.",Data Engineer (Python/AWS),London,80000,recruiter,nan,engineer
Datatech Analytics,"Undertake complex data analysis, hypothesis testing, data preparation, product prototyping and development of prognostic models.",Data Science,London,90000,tech,nan,data scientist
Harnham,Experience of working with large volumes of data.Harnham are working with one of the most exciting online travel companies worldwide in growing their data…,Lead Data Scientist - Travel,London,90000,recruiter,upper,data scientist
Informatiq Consulting,Research skills and the ability to manipulate large data sets.Ensure that data feeds and systems are working as expected.,Data Analyst,London,55000,consult,nan,data analyst
Harnham,"Experience of working with large volumes of data.Research, exploring data sets and carrying out proof of concept work.The Role - Machine Learning Scientist.",Machine Learning Scientist,London,62500,recruiter,nan,engineer
Harnham,"Using SQL (and Alteryx) to extract, query and manipulate data.Are you looking for a new Data Analyst position, using the likes of SQL, Alteryx and Tableau?",Commercial Analyst,London,47500,recruiter,nan,analyst (other)
GCS Recruitment Specialists Ltd,"My industry leading financial services client are seeking a Business Support/Data Analyst to join on a permanent basis in Watford, ASAP start.",Technical Support / Data Analyst,London,29000,recruiter,nan,data analyst
Hasson Associates,"Here you will work with an amazing portfolio of clients and will be joining an entrepreneurial team of analysts, programmers and data scientist who build…",Marketing Mix Modelling Analyst – Econometrics,London,65000,recruiter,nan,analyst (other)
Michael Page UK,"Manage and review the data quality and data cleansing tasks e.g. removing duplication and reassigning of records, updating account ownerships.",Salesforce Analyst - Professional Service,London,32500,recruiter,nan,analyst (other)
Harnham,Review and request all data required to identify patterns.They know how critical their data is in the fight against fraud and promote sharing this info among…,Senior Fraud Analyst,London,50000,recruiter,upper,analyst (other)
Harnham,"Up to £80,000 + Bonus.You will be using Machine Learning/ Deep Learning/ Computer Vision for the trading of fine art worth millions of pounds!",Data Scientist (Deep Learning),London,65000,recruiter,nan,data scientist
Harnham,You will look to build out the team as the business grows and the data function capabilities improve.This Tech focused company are in the early start-up phase…,Data Science and Data Engineering Director,London,125000,recruiter,nan,data scientist
Harnham,This is an AI start-up with about 25 people currently in the business and they are looking to bring on a new Head of Data Science to manage a junior data…,Head of Data Science,London,100000,recruiter,upper,data scientist
Harnham,"New opportunity for a Data Scientist with a PhD in a relevant field to join an innovative Research and Development team, working on complex Computer Vision and…",Data Scientist (Deep Learning/ Computer Vision),London,60000,recruiter,nan,data scientist
Lawrence Harvey,Their product is an automated Machine Learning platform and can be cloud or on-prem based allowing organizations to produce accurate data-based predictions &…,French Speaking Data Scientist - London - £110k + Benefits!,London,105000,law,nan,data scientist
Taylor James Resourcing,"This includes but is not limited to data exploration, data cleaning, data analysis, application maintenance and result presentation.",Financial Markets Data Scientist,London,72500,recruiter,nan,data scientist
Jenrick Group,Experience in big data warehouse and visualisation tools to carry out interactive data analysis.As a Data Engineer you will enable data-driven decisions…,Data Engineer,London,47500,recruiter,nan,engineer
Venturi,Proven experience in a similar data analysis capacity;The Data Analytics Manager’s responsibilities on a day to day basis will range from managing a team of…,Data Analytics Manager,London,56000,recruiter,upper,data analyst
Venturi,"Undertaking data intensive fraud investigations, remediations and regulatory driven analytics.Building, designing and managing data models to solve complex…",Finance / Data Analytics,London,50000,recruiter,nan,data analyst
Client Server,Promising scale-up is seeking a capable Data Engineer to enhance their capabilities as they enter a new phase of growth.,Data Engineer Python,London,72500,recruiter,nan,engineer
Datatech Analytics,Good SQL/data manipulation skills are required.Develop a deep understanding of the data infrastructure and champion infrastructure development needs.,Principal Data Scientist - Director level,London,90000,tech,nan,data scientist
Harnham,Customer-focused experience and experience working with marketing data.Mentor the two junior members of the Advanced Analytics team; helping establish best…,Data Science Manager,London,65000,recruiter,upper,data scientist
Deerfoot,Design and implementation experience of enterprise level data focused environments.We have been asked to assist in the recruitment of 2-3 individuals to join…,Senior Data Architect - MDM,London,110000,recruiter,upper,data (other)
Imperial College London,"Data Processing and Analysis: of high volume, complex data.Deliver, and implement, an enhanced predictive analytics method within a CONTEXT-data compatible…",Knowledge Transfer Partnership (KTP) Assistant - Predictive...,London,41528,education,nan,intern
Harnham,You will look to build out the team as the business grows and the data function capabilities improve.This Tech focused company are in the early start-up phase…,Director of Data Science & Engineering,London,125000,recruiter,nan,data scientist
Inspiring Interns,Able to think about data storytelling; spotting trends and turning them into valuable and captivating content to drive behavior.A curious and analytical mind.,Graduate Content Writer,London,22500,recruiter,entry,intern
Inspiring Interns,Extracting data from a wide range of sources.Examine data anomalies and flag them up to the team.Someone who wants to develop a professional career in data…,Analytics Executive,London,25000,recruiter,nan,analyst (other)
Vertus Partners,"A proven track record of being someone who has defined processes within a new data science function.Have built or led a Data Science team, ideally within a…",Data Science Lead (Digital),London,95000,recruiter,upper,data scientist
onezeero,Strong pratical experience of Microsoft Azure IasS and PaaS technologies across data.Data access and data analytic capabilities to support and drive front…,Data Architect - Hedge Fund,London,132500,recruiter,nan,data (other)
Datatech Analytics,Data Scientist/Web Developer – Salary to £50K – Plus Benefits – London – J10314.This consultancy assists their clients in improving their brand and business…,Data Science Web Developer,London,50000,tech,nan,data scientist
Harnham,"Analyse all the data for the company (including shipping data, oil data, weather data etc).This is fantastic opportunity for an experienced Data Scientist who…",Quantitative Strategist,London,122500,recruiter,nan,strategy
Harnham,"Own the transformation of the existing platform, cleaning data catalogues and improving analytical insight across the entire company.",Data Engineer,London,70000,recruiter,nan,engineer
Give A Grad A Go,"If you’re looking to make a big impact in FinTech and you’re comfortable handling complex data, this Product Management job in London could be ideal for you.",Product Manager - FinTech,London,37500,recruiter,upper,other
Miryco Consulting,This role will support the global front office investment management team by providing investment ready data in support of the portfolio management process.,Front Office Investment Data Manager - Asset Management,London,45000,consult,upper,data (other)
Richard Wheeler Associates,"The successful Data Pipeline Engineer must have:An MSc in Computer Science, Machine Learning, Math, Statistics or relevant fields.£65-80k + equity.",Backend Python Data Pipeline Engineer,London,72500,recruiter,nan,engineer
Hasson Associates,"In this role you will be involved in working with unstructured data, big data, social media, digital and research data using packages like Hive, R and Python.","Marketing/Data Scientist- Big Data, R, Python, Machine Learn...",London,52500,recruiter,nan,data scientist
Consortia,They have raised over $10m in US funding and create smart services to their clients providing unique ways to ease the stresses of renting a property for both…,Ruby Software Engineer,London,70000,recruiter,nan,engineer
Michael Page UK,"O Data maintenance, control data upload.O Experience of managing and manipulating large sets of data using MS Excel.O Integration with 3rd parties.",Junior Salesforce Administrator,London,31500,recruiter,entry,other
Ampersand Consulting,"Proven direct experience in proposition development and commercial exploitation of data, good working knowledge of SQL, Python and data base administration…","Senior Data Engineer (Google Cloud Platform, Azure, SQL, Pyt...",London,77500,consult,upper,engineer
Give A Grad A Go,"If you’re looking to make a big impact in FinTech and you’re comfortable handling complex data, this Software Product Management job in London could be ideal…",Software Product Manager - Finance,London,37500,recruiter,upper,engineer
Yepic AI,For an always-on deployment environment and work with data scientists to build a SAAS platform product from the ground up.Annual company holiday (or two).,Full Stack Senior Software Engineer,London,62500,tech,upper,engineer
Harnham,"AI Focused start up, work to optimise sensory data to autonomous vehicles working with some of the brightest minds in the AI and ML space.",Deep Learning Scientist,London,85000,recruiter,nan,engineer
Harnham US,Strong data analytics skills and experience working on different technologies.You will take ownership on projects and decide what campaigns to run based on…,Customer Insight Manager,London,45000,recruiter,upper,data analyst
Harnham,Looking at time series data - analysing the data and offering solutions to business problems.Head of Data Science and Machine Learning Engineering.,Head of Data Science and Machine Learning Engineering,London,105000,recruiter,upper,data scientist
Hasson Associates,Drive data strategy and develop data warehousing capabilities and streams.Empower data scientists and digital team to develop and deploy data science and…,Lead Data Architect,London,62500,recruiter,upper,data (other)
Doctorlink,Delve into data to discover discrepancies and ensure robustness of data sets.Solid experience in data analysis.Previous experience in health data analytics.,Clinical Data Analyst,London,40000,healthcare,nan,data analyst
Computappoint Ltd.,"The Analyst will work with the Data Architect and Design teams to assist with data-related technical issues, migrate existing data and design the ETL solution…",Power BI Specialist,London,70000,recruiter,nan,business analyst
Harnham,"You will bridge the gap between data scientist and engineers.You will be working closely with data scientist, so this will ultimately expand your knowledge of…",Lead Data Engineer,London,90000,recruiter,upper,engineer
Hasson Associates,Understanding of Big data Analytics.Development of new data science solutions.Support Senior Leaders and implement overall data strategy.,Data Science & Dev Ops Lead – Python Expert,London,70000,recruiter,upper,data scientist
Harnham,This is a really exciting opportunity for a Data Scientist with knowledge of Computer Vision & AI to join a hugely successful tech company to work on a Robotics…,Computer Vision Robotics Scientist,London,60000,recruiter,nan,engineer
Pertemps Network Group,"Business Mileage paid from home at 45 pence per mile."" IT and Telecoms, Software Developer, Network Engineers, Cyber, Data Analyst, IT Technical Sales, Digital…",IT Trainer/Assessor,London,36000,recruiter,nan,engineer
Harnham,"Partner with the product, data, and marketing teams to answer high-priority strategic questions.MARKETING DATA ANALYST *MANDARIN SPEAKING*.",Marketing Analyst *Mandarin Speaking*,London,45000,recruiter,nan,analyst (other)
CK Group,"Work on complex and diverse projects as the Lead Statistician, providing high quality clinical development services to various clients.",Principal Statistician,London,65000,recruiter,nan,math/stats
Harnham,"UP TO £70,000 + BENEFITS.The role of Machine Learning Engineer will focus on building end-to-end machine learning models using deep learning and natural…",Machine Learning Engineer,London,60000,recruiter,nan,engineer
Harnham,Senior Data Scientist - Computer Vision.This is a really exciting opportunity for a Data Scientist with knowledge of Computer Vision & AI to join a hugely…,Computer Vision and Machine Learning Expert,London,62500,recruiter,nan,engineer
Harnham,"As a Data Science Manager, you will be working in the data science team that focuses on modelling complex business problems around improving customer experience…",Head of Data Science/ Data Science Manager,London,85000,recruiter,upper,data scientist
Harnham,"As a DevOps Specialist, you will be sitting with the Data Engineers, Developers, Data Scientist and front-end engineers.Up to a 10% bonus.",DevOps Specialist,London,70000,recruiter,nan,developer
Harnham,Conduct data analysis to gain insights and identify areas for improvements.This start-up renewable energy company are looking for a Senior Data Scientist to…,Senior Machine Learning Engineer,London,65000,recruiter,upper,engineer
CK Group,"Oversight of all data review activities; measuring progress against the project plan.Contributing to and developing data management project plans, and having…",Senior/Principal Data Manager,London,43500,recruiter,upper,data (other)
Harnham,Good data manipulation skills required including cleaning and managing data.You can expect to be engaging with a range of technologies and vast data sets to…,Computer Vision Engineer,London,65000,recruiter,nan,engineer
Michael Page UK,"You may also be an internal auditor, risk professional or data scientist, who is highly numerate, has a technical and analytical way of thinking, is excellent…",Financial Risk Modeller- FTSE 100 Telecoms Business,London,50000,recruiter,nan,other
Austin Rose,Maintaining central CRM database including data entry and data cleansing.Preparing audits in data and resolving business issues for the client base.,Business Development Executive,London,22500,recruiter,nan,developer
Venturi,You will be using your engineering skills to build data pipelines and design algorithms to manage huge amounts of data.BSc or higher in a STEM subject.,Machine Learning Engineer,London,50000,recruiter,nan,engineer
Datatech Analytics,Demonstrate a passionate about data.Apply data science techniques in a commercial environment.Demonstrate experience of querying datasets in a big data…,Senior Manager - Optimisation - Analytics,London,85000,tech,upper,analyst (other)
CK Group,"Experience of data integration projects and knowledge creating SDTM programs.Strong data analytics and programming skills, CRO experience is highly desirable.",Principal SAS Programmer,London,55000,recruiter,nan,engineer
Cortex IT Recruitment,"Plus: -Experience running very large distributed data processing systems at scale with on-call support.Organisation, management and development of a team.",Senior DevOps,London,80000,recruiter,upper,developer
Linux Recruit,"Alongside the Chief Data Scientist and a team of Data Scientists, Python and Cloud Engineers you will design and build business-critical Machine Learning…",Lead Engineer - Python - Machine Learning,London,85000,recruiter,upper,engineer
